Transaction_Time,Open,High,Low,Close,Volume,Ticker,Log_Return,Volatility_20m,Price_Gap,RSI_14m,Risk_Limit_USD,Entry_Price,Exit_Price,Trade_PnL,Slippage_USD,Cum_PnL,Peak,Drawdown
2026-04-06 18:38:00-04:00,4687.799805,4688.399902,4686.899902,4687,19,GC=F,-0.000170629,0.000261503,0,51.79863697,500,4687.799805,4687,-79.98046875,0.207820317,-419.53125,6330.322266,-6749.853516
2026-04-06 18:39:00-04:00,6645.25,6647,6645.25,6645.75,126,ES=F,7.52E-05,0.000312837,0,43.1372549,500,6645.25,6645.75,50,0.332377458,3150,4375,-1225
2026-04-06 18:39:00-04:00,4687.399902,4687.799805,4686.700195,4687.399902,14,GC=F,8.53E-05,0.000255013,0.399902344,50,500,4687.399902,4687.399902,0,0.39523473,-419.53125,6330.322266,-6749.853516
2026-04-06 18:40:00-04:00,110.828125,110.828125,110.828125,110.828125,1,ZN=F,0.000140994,0.000116409,0.015625,62.5,500,110.828125,110.828125,0,0.142889572,37.5,46.875,-9.375
2026-04-06 18:40:00-04:00,6646,6647,6646,6646.5,86,ES=F,0.000112848,0.000315121,0.25,51.02040816,500,6646,6646.5,50,0.443154701,3200,4375,-1175
2026-04-06 18:40:00-04:00,4687.799805,4688.100098,4687.5,4687.799805,4,GC=F,8.53E-05,0.000252457,0.399902344,43.69716865,500,4687.799805,4687.799805,0,0.230868911,-419.53125,6330.322266,-6749.853516
2026-04-06 18:41:00+01:00,93.04000092,93.04000092,93.04000092,93.04000092,0,INR=X,0,0.000111658,0,35.48291818,500,93.04000092,93.04000092,0,0.356102709,-14.84985352,15.39916992,-30.24902344
2026-04-06 18:41:00-04:00,110.828125,110.828125,110.828125,110.828125,2,ZN=F,0,0.000112059,0,57.14285714,500,110.828125,110.828125,0,0.054948123,37.5,46.875,-9.375
2026-04-06 18:41:00-04:00,4687.899902,4688.299805,4687.200195,4687.200195,8,GC=F,-0.000127917,0.000251478,0.100097656,46.42919428,500,4687.899902,4687.200195,-69.97070313,0.265944029,-489.5019531,6330.322266,-6819.824219
2026-04-06 18:41:00-04:00,6646.75,6647.75,6646,6647.25,113,ES=F,0.000112835,0.000313827,0.25,56,500,6646.75,6647.25,50,0.492837561,3250,4375,-1125
2026-04-06 18:42:00-04:00,110.828125,110.828125,110.828125,110.828125,2,ZN=F,0,0.000112059,0,50,500,110.828125,110.828125,0,0.111598534,37.5,46.875,-9.375
2026-04-06 18:42:00-04:00,6647.25,6647.25,6646.5,6646.5,59,ES=F,-0.000112835,0.00031413,0,53.84615385,500,6647.25,6646.5,-75,0.395723036,3175,4375,-1200
2026-04-06 18:42:00-04:00,4688,4688.399902,4687.299805,4687.299805,6,GC=F,2.13E-05,0.000251744,0.799804688,42.85647847,500,4688,4687.299805,-70.01953125,0.332377458,-559.5214844,6330.322266,-6889.84375
2026-04-06 18:43:00-04:00,110.828125,110.828125,110.828125,110.828125,30,ZN=F,0,0.000107045,0,50,500,110.828125,110.828125,0,0.455008389,37.5,46.875,-9.375
2026-04-06 18:43:00-04:00,4687.399902,4687.399902,4686.5,4686.700195,9,GC=F,-0.00012793,0.000240866,0.100097656,47.87261676,500,4687.399902,4686.700195,-69.97070313,0.443154701,-629.4921875,6330.322266,-6959.814453
2026-04-06 18:43:00-04:00,6646.75,6646.75,6646.25,6646.5,3,ES=F,0,0.000156912,0.25,50,500,6646.75,6646.5,-25,0.237995052,3150,4375,-1225
2026-04-06 18:44:00-04:00,110.828125,110.828125,110.828125,110.828125,4,ZN=F,0,0.000102296,0,50,500,110.828125,110.828125,0,0.443250535,37.5,46.875,-9.375
2026-04-06 18:44:00-04:00,4686.899902,4686.899902,4686,4686,13,GC=F,-0.000149412,0.000216844,0.199707031,31.70557408,500,4686.899902,4686,-89.99023438,0.492837561,-719.4824219,6330.322266,-7049.804688
2026-04-06 18:44:00-04:00,6646.75,6646.75,6646.5,6646.5,10,ES=F,0,0.000155157,0.25,47.82608696,500,6646.75,6646.5,-25,0.239610651,3125,4375,-1250
2026-04-06 18:45:00-04:00,6646,6646,6645.25,6646,110,ES=F,-7.52E-05,0.000139755,-0.5,50,500,6646,6646,0,0.381912036,3125,4375,-1250
2026-04-06 18:45:00-04:00,4685.899902,4687.200195,4684.799805,4687.200195,70,GC=F,0.000256091,0.000220358,-0.100097656,39.12951168,500,4685.899902,4687.200195,130.0292969,0.395723036,-589.453125,6330.322266,-6919.775391
2026-04-06 18:45:00-04:00,110.828125,110.828125,110.828125,110.828125,2,ZN=F,0,9.68E-05,0,50,500,110.828125,110.828125,0,0.318835896,37.5,46.875,-9.375
2026-04-06 18:46:00-04:00,110.828125,110.828125,110.828125,110.828125,2,ZN=F,0,9.03E-05,0,60,500,110.828125,110.828125,0,0.320232587,37.5,46.875,-9.375
2026-04-06 18:46:00-04:00,4687.399902,4687.600098,4686.799805,4687.600098,11,GC=F,8.53E-05,0.000199892,0.199707031,46.51070354,500,4687.399902,4687.600098,20.01953125,0.237995052,-569.4335938,6330.322266,-6899.755859
2026-04-06 18:46:00-04:00,6646.25,6646.5,6645.75,6646.25,38,ES=F,3.76E-05,0.000133711,0.25,54.76190476,500,6646.25,6646.25,0,0.157449716,3125,4375,-1250
2026-04-06 18:47:00-04:00,4687.299805,4687.299805,4687.299805,4687.299805,1,GC=F,-6.41E-05,0.000190827,-0.300292969,50,500,4687.299805,4687.299805,0,0.239610651,-569.4335938,6330.322266,-6899.755859
2026-04-06 18:47:00-04:00,110.828125,110.828125,110.828125,110.828125,14,ZN=F,0,8.53E-05,0,60,500,110.828125,110.828125,0,0.349266504,37.5,46.875,-9.375
2026-04-06 18:47:00-04:00,6646.25,6646.5,6646,6646,38,ES=F,-3.76E-05,0.000132859,0,60.52631579,500,6646.25,6646,-25,0.099713351,3100,4375,-1275
2026-04-06 18:48:00-04:00,110.828125,110.84375,110.828125,110.84375,343,ZN=F,0.000140974,8.53E-05,0,80,500,110.828125,110.84375,1.5625,0.128917075,39.0625,46.875,-7.8125
2026-04-06 18:48:00-04:00,6646.25,6646.5,6646,6646.5,17,ES=F,7.52E-05,0.000133488,0.25,69.44444444,500,6646.25,6646.5,25,0.209579971,3125,4375,-1250
2026-04-06 18:48:00-04:00,4687.899902,4689,4687.899902,4688,26,GC=F,0.00014937,0.000189841,0.600097656,54.02447238,500,4687.899902,4688,10.00976563,0.381912036,-559.4238281,6330.322266,-6889.746094
2026-04-06 18:49:00-04:00,110.84375,110.84375,110.84375,110.84375,33,ZN=F,0,8.53E-05,0,75,500,110.84375,110.84375,0,0.461485376,39.0625,46.875,-7.8125
2026-04-06 18:49:00-04:00,6646.5,6646.5,6646,6646.25,26,ES=F,-3.76E-05,0.000129452,0,58.62068966,500,6646.5,6646.25,-25,0.179257546,3100,4375,-1275
2026-04-06 18:49:00-04:00,4688.700195,4689,4687.299805,4687.700195,19,GC=F,-6.40E-05,0.000171376,0.700195313,58.75350995,500,4688.700195,4687.700195,-100,0.157449716,-659.4238281,6330.322266,-6989.746094
2026-04-06 18:50:00-04:00,110.84375,110.84375,110.84375,110.84375,4,ZN=F,0,8.53E-05,0,100,500,110.84375,110.84375,0,0.238446736,39.0625,46.875,-7.8125
2026-04-06 18:50:00-04:00,6646.5,6648,6646.5,6647.75,120,ES=F,0.000225666,0.00013824,0.25,69.6969697,500,6646.5,6647.75,125,0.183338654,3225,4375,-1150
2026-04-06 18:50:00-04:00,4688.100098,4688.299805,4687,4687.600098,14,GC=F,-2.14E-05,0.000143381,0.399902344,55.84448532,500,4688.100098,4687.600098,-50,0.099713351,-709.4238281,6330.322266,-7039.746094
2026-04-06 18:51:00-04:00,4686.299805,4686.299805,4686.299805,4686.299805,1,GC=F,-0.000277428,0.000154078,-1.300292969,40.50562492,500,4686.299805,4686.299805,0,0.209579971,-709.4238281,6330.322266,-7039.746094
2026-04-06 18:51:00-04:00,6647.5,6647.75,6646.25,6646.5,41,ES=F,-0.000188051,0.000140708,-0.25,53.125,500,6647.5,6646.5,-100,0.155123488,3125,4375,-1250
2026-04-06 18:51:00-04:00,110.84375,110.84375,110.84375,110.84375,3,ZN=F,0,8.53E-05,0,100,500,110.84375,110.84375,0,0.222412338,39.0625,46.875,-7.8125
2026-04-06 18:52:00-04:00,4685.899902,4685.899902,4685.700195,4685.700195,2,GC=F,-0.000127958,0.000149888,-0.399902344,41.55885337,500,4685.899902,4685.700195,-19.97070313,0.179257546,-729.3945313,6330.322266,-7059.716797
2026-04-06 18:52:00-04:00,6646.25,6646.25,6645.25,6645.75,47,ES=F,-0.000112848,0.000140708,-0.25,53.125,500,6646.25,6645.75,-50,0.068941935,3075,4375,-1300
2026-04-06 18:52:00-04:00,110.84375,110.84375,110.828125,110.84375,52,ZN=F,0,7.79E-05,0,100,500,110.84375,110.84375,0,0.283512967,39.0625,46.875,-7.8125
2026-04-06 18:53:00-04:00,110.828125,110.84375,110.828125,110.84375,8,ZN=F,0,7.79E-05,-0.015625,100,500,110.828125,110.84375,1.5625,0.071134685,40.625,46.875,-6.25
2026-04-06 18:53:00-04:00,6645.75,6646,6644,6644.5,88,ES=F,-0.000188108,0.000140707,0,42.85714286,500,6645.75,6644.5,-125,0.058043271,2950,4375,-1425
